|      | game_id                                                             |   num_soundtracks |
|  251 | daruma-doujou                                                       |                11 |
|  252 | date-kimiko-no-virtual-tennis                                       |                 4 |
|  253 | david-cranes-amazing-tennis                                         |                 3 |
|  254 | daze-before-christmas                                               |                12 |
|  255 | deae-tonosama-appare-ichiban                                        |                23 |
|  256 | dear-boys                                                           |                 5 |
|  257 | death-and-return-of-superman-the                                    |                 9 |
|  258 | death-brade                                                         |                 6 |
|  259 | dekitate-high-school                                                |                 4 |
|  260 | demolition-man                                                      |                12 |
|  261 | demons-crest                                                        |                25 |
|  262 | dennis-the-menace                                                   |                11 |
|  263 | der-langrisser                                                      |                31 |
|  264 | derby-jockey-2                                                      |                 2 |
|  265 | derby-jockey-kishou-he-no-michi                                     |                 3 |
|  266 | desert-strike-return-to-the-gulf                                    |                 9 |
|  267 | dig-spike-volleyball                                                |                 7 |
|  268 | dino-dinis-soccer                                                   |                 3 |
|  269 | dinocity                                                            |                18 |
|  270 | dirt-racer                                                          |                 5 |
|  271 | dirt-trax-fx                                                        |                 7 |
|  272 | do-re-mi-fantasy-milon-no-doki-doki-daibouken                       |                33 |
|  273 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                 |                10 |
|  274 | dolucky-no-aleague-soccer                                           |                13 |
|  275 | dolucky-no-kusa-yakyu                                               |                14 |
|  276 | dolucky-no-puzzle-tour-94                                           |                12 |
|  277 | donald-duck-mahou-no-boushi                                         |                33 |
|  278 | donkey-kong                                                         |                 1 |
|  279 | donkey-kong-country                                                 |                20 |
|  280 | donkey-kong-country-2-diddys-kong-quest                             |                43 |
|  281 | donkey-kong-country-3-dixie-kongs-double-trouble                    |                36 |
|  282 | doom                                                                |                19 |
|  283 | doom-troopers-the-mutant-chronicles                                 |                 8 |
|  284 | doomsday-warrior                                                    |                11 |
|  285 | doraemon-2-nobita-no-toys-land-daibouken                            |                25 |
|  286 | doraemon-3-nobita-to-toki-no-hougyoku                               |                12 |
|  287 | doraemon-4-nobita-to-tsuki-no-oukoku                                |                28 |
|  288 | doraemon-nobita-to-yousei-no-kuni                                   |                24 |
|  289 | dorque-and-imp                                                      |                 1 |
|  290 | dossun-ganseki-battle                                               |                 8 |
|  291 | double-dragon-v-the-shadow-falls                                    |                15 |
|  292 | doukyuusei-2                                                        |                11 |
|  293 | down-the-world-mervils-ambition                                     |                 3 |
|  294 | dragon-ball-z-chou-gokuu-den-kakusei-hen                            |                18 |
|  295 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                          |                21 |
|  296 | dragon-ball-z-hyper-dimension                                       |                16 |
|  297 | dragon-ball-z-rpg-super-saiya-densetsu                              |                19 |
|  298 | dragon-ball-z-super-butouden                                        |                12 |
|  299 | dragon-ball-z-super-butouden-2                                      |                12 |
|  300 | dragon-ball-z-super-butouden-3                                      |                 7 |
|  301 | dragon-knight-4                                                     |                 5 |
|  302 | dragon-quest-i-ii                                                   |                35 |
|  303 | dragon-quest-iii-and-into-the-legend                                |                24 |
|  304 | dragon-quest-v-hand-of-the-heavenly-bride                           |                27 |
|  305 | dragon-quest-vi-realms-of-reverie                                   |                32 |
|  306 | dragon-slayer-eiyuu-densetsu                                        |                11 |
|  307 | dragon-slayer-eiyuu-densetsu-ii                                     |                 5 |
|  308 | dragon-the-bruce-lee-story                                          |                14 |
|  309 | dragon-view                                                         |                50 |
