|      | game_id                                                             |   num_videos |
|  258 | dekitate-high-school                                                |            4 |
|  259 | demolition-man                                                      |           36 |
|  260 | demons-crest                                                        |           50 |
|  261 | dennis-the-menace                                                   |           49 |
|  262 | der-langrisser                                                      |          766 |
|  263 | derby-jockey-2                                                      |            3 |
|  264 | derby-jockey-kishou-he-no-michi                                     |            3 |
|  265 | desert-strike-return-to-the-gulf                                    |           13 |
|  266 | dig-spike-volleyball                                                |          135 |
|  267 | dino-dinis-soccer                                                   |           14 |
|  268 | dinocity                                                            |           18 |
|  269 | dirt-racer                                                          |          176 |
|  270 | dirt-trax-fx                                                        |           59 |
|  271 | do-re-mi-fantasy-milon-no-doki-doki-daibouken                       |           90 |
|  272 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                 |           10 |
|  273 | dolucky-no-aleague-soccer                                           |           33 |
|  274 | dolucky-no-kusa-yakyu                                               |           14 |
|  275 | dolucky-no-puzzle-tour-94                                           |          103 |
|  276 | donald-duck-mahou-no-boushi                                         |           33 |
|  277 | donkey-kong                                                         |            1 |
|  278 | donkey-kong-country                                                 |          109 |
|  279 | donkey-kong-country-2-diddys-kong-quest                             |          129 |
|  280 | donkey-kong-country-3-dixie-kongs-double-trouble                    |          132 |
|  281 | doom                                                                |          270 |
|  282 | doom-troopers-the-mutant-chronicles                                 |           14 |
|  283 | doomsday-warrior                                                    |           31 |
|  284 | doraemon-2-nobita-no-toys-land-daibouken                            |           25 |
|  285 | doraemon-3-nobita-to-toki-no-hougyoku                               |           12 |
|  286 | doraemon-4-nobita-to-tsuki-no-oukoku                                |           79 |
|  287 | doraemon-nobita-to-yousei-no-kuni                                   |           24 |
|  288 | dorque-and-imp                                                      |            2 |
|  289 | dossun-ganseki-battle                                               |           60 |
|  290 | double-dragon-v-the-shadow-falls                                    |           30 |
|  291 | doukyuusei-2                                                        |           11 |
|  292 | down-the-world-mervils-ambition                                     |            3 |
|  293 | dragon-ball-z-chou-gokuu-den-kakusei-hen                            |           50 |
|  294 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                          |          119 |
|  295 | dragon-ball-z-hyper-dimension                                       |           45 |
|  296 | dragon-ball-z-rpg-super-saiya-densetsu                              |          706 |
|  297 | dragon-ball-z-super-butouden                                        |           24 |
|  298 | dragon-ball-z-super-butouden-2                                      |           36 |
|  299 | dragon-ball-z-super-butouden-3                                      |           39 |
|  300 | dragon-knight-4                                                     |            5 |
|  301 | dragon-quest-i-ii                                                   |          120 |
|  302 | dragon-quest-iii-and-into-the-legend                                |           24 |
|  303 | dragon-quest-v-hand-of-the-heavenly-bride                           |           77 |
|  304 | dragon-quest-vi-realms-of-reverie                                   |           90 |
|  305 | dragon-slayer-eiyuu-densetsu                                        |           73 |
|  306 | dragon-slayer-eiyuu-densetsu-ii                                     |            5 |
|  307 | dragon-the-bruce-lee-story                                          |           26 |
|  308 | dragon-view                                                         |          146 |
|  309 | dragons-earth                                                       |           57 |
|  310 | dragons-lair                                                        |           16 |
|  311 | drakkhen                                                            |           65 |
