|      | game_id                                                             |   num_videos |
|  477 | honkaku-mahjong-tetsuman                                            |           14 |
|  478 | honkaku-shougi-fuuunji-ryuuou                                       |           11 |
|  479 | honkakuha-igo-gosei                                                 |           18 |
|  480 | honke-hanafuda                                                      |          127 |
|  481 | honke-sankyo-fever-jikki-simulation-2                               |            4 |
|  482 | honke-sankyo-fever-jikki-simulation-3                               |            5 |
|  483 | honoo-no-toukyuuji-dodge-danpei                                     |          173 |
|  484 | hook                                                                |          143 |
|  485 | hourai-gakuen-no-bouken-tenkousei-scramble                          |            9 |
|  486 | human-grand-prix-iii-f1-triple-battle                               |            3 |
|  487 | humans-the                                                          |           50 |
|  488 | hunchback-of-notre-dame                                             |            5 |
|  489 | hungry-dinosaurs                                                    |            1 |
|  490 | hunt-for-red-october-the                                            |           91 |
|  491 | hurricanes                                                          |          193 |
|  492 | hurricanes-trainer                                                  |           12 |
|  493 | hyper-iria                                                          |          169 |
|  494 | hyper-v-ball                                                        |           73 |
|  495 | hyperzone                                                           |           82 |
|  496 | hysteria                                                            |            8 |
|  497 | idea-no-hi                                                          |           15 |
|  498 | ignition-factor-the                                                 |          231 |
|  499 | igo-club                                                            |            8 |
|  500 | illvanian-no-shiro                                                  |            6 |
|  501 | imperium                                                            |          120 |
|  502 | inazuma-serve-da-super-beach-volley                                 |            7 |
|  503 | incantation                                                         |           80 |
|  504 | incredible-hulk-the                                                 |          147 |
|  505 | indiana-jones-greatest-adventures                                   |           69 |
|  506 | inspector-gadget                                                    |          102 |
|  507 | international-superstar-soccer                                      |           17 |
|  508 | international-superstar-soccer-deluxe                               |           28 |
|  509 | international-tennis-tour                                           |           20 |
|  510 | ippatsu-gyakuten-keiba-keirin-kyoutei                               |            9 |
|  511 | iron-commando-kotetsu-no-senshi                                     |          209 |
|  512 | itadaki-street-2-neon-sign-ha-barairo-ni                            |           11 |
|  513 | itchy-scratchy-game-the                                             |          116 |
|  514 | itou-hatasu-rokudan-no-shougi-doujou                                |            7 |
|  515 | izzys-quest-for-the-olympic-rings                                   |          157 |
|  516 | jack-nicklaus-golf                                                  |           71 |
|  517 | jaleco-rally-big-run-the-supreme-4wd-challenge                      |           68 |
|  518 | james-pond-3-operation-starfish                                     |           29 |
|  519 | jammes                                                              |           73 |
|  520 | jammit                                                              |          100 |
