|      | game_id                                                             |   num_soundtracks |
|  244 | daisenryaku-expert                                                  |                 3 |
|  245 | daisenryaku-expert-wwii-war-in-europe                               |                 1 |
|  246 | darius-twin                                                         |                14 |
|  247 | dark-half                                                           |                24 |
|  248 | dark-kingdom                                                        |                19 |
|  249 | dark-law-meaning-of-death                                           |                 3 |
|  250 | daruma-doujou                                                       |                11 |
|  251 | date-kimiko-no-virtual-tennis                                       |                 4 |
|  252 | david-cranes-amazing-tennis                                         |                 3 |
|  253 | daze-before-christmas                                               |                12 |
|  254 | deae-tonosama-appare-ichiban                                        |                23 |
|  255 | dear-boys                                                           |                 5 |
|  256 | death-and-return-of-superman-the                                    |                 9 |
|  257 | death-brade                                                         |                 6 |
|  258 | dekitate-high-school                                                |                 4 |
|  259 | demolition-man                                                      |                12 |
|  260 | demons-crest                                                        |                25 |
|  261 | dennis-the-menace                                                   |                11 |
|  262 | der-langrisser                                                      |                31 |
|  263 | derby-jockey-2                                                      |                 2 |
|  264 | derby-jockey-kishou-he-no-michi                                     |                 3 |
|  265 | desert-strike-return-to-the-gulf                                    |                 9 |
|  266 | dig-spike-volleyball                                                |                 7 |
|  267 | dino-dinis-soccer                                                   |                 3 |
|  268 | dinocity                                                            |                18 |
|  269 | dirt-racer                                                          |                 5 |
|  270 | dirt-trax-fx                                                        |                 7 |
|  271 | do-re-mi-fantasy-milon-no-doki-doki-daibouken                       |                33 |
|  272 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                 |                10 |
|  273 | dolucky-no-aleague-soccer                                           |                13 |
|  274 | dolucky-no-kusa-yakyu                                               |                14 |
|  275 | dolucky-no-puzzle-tour-94                                           |                12 |
|  276 | donald-duck-mahou-no-boushi                                         |                33 |
|  277 | donkey-kong                                                         |                 1 |
|  278 | donkey-kong-country                                                 |                20 |
|  279 | donkey-kong-country-2-diddys-kong-quest                             |                43 |
|  280 | donkey-kong-country-3-dixie-kongs-double-trouble                    |                36 |
|  281 | doom                                                                |                19 |
|  282 | doom-troopers-the-mutant-chronicles                                 |                 8 |
|  283 | doomsday-warrior                                                    |                11 |
|  284 | doraemon-2-nobita-no-toys-land-daibouken                            |                25 |
|  285 | doraemon-3-nobita-to-toki-no-hougyoku                               |                12 |
|  286 | doraemon-4-nobita-to-tsuki-no-oukoku                                |                28 |
|  287 | doraemon-nobita-to-yousei-no-kuni                                   |                24 |
|  288 | dorque-and-imp                                                      |                 1 |
|  289 | dossun-ganseki-battle                                               |                 8 |
|  290 | double-dragon-v-the-shadow-falls                                    |                15 |
|  291 | doukyuusei-2                                                        |                11 |
|  292 | down-the-world-mervils-ambition                                     |                 3 |
|  293 | dragon-ball-z-chou-gokuu-den-kakusei-hen                            |                18 |
|  294 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                          |                21 |
|  295 | dragon-ball-z-hyper-dimension                                       |                16 |
|  296 | dragon-ball-z-rpg-super-saiya-densetsu                              |                19 |
|  297 | dragon-ball-z-super-butouden                                        |                12 |
|  298 | dragon-ball-z-super-butouden-2                                      |                12 |
|  299 | dragon-ball-z-super-butouden-3                                      |                 7 |
|  300 | dragon-knight-4                                                     |                 5 |
|  301 | dragon-quest-i-ii                                                   |                35 |
|  302 | dragon-quest-iii-and-into-the-legend                                |                24 |
|  303 | dragon-quest-v-hand-of-the-heavenly-bride                           |                27 |
|  304 | dragon-quest-vi-realms-of-reverie                                   |                32 |
|  305 | dragon-slayer-eiyuu-densetsu                                        |                11 |
|  306 | dragon-slayer-eiyuu-densetsu-ii                                     |                 5 |
|  307 | dragon-the-bruce-lee-story                                          |                14 |
|  308 | dragon-view                                                         |                50 |
|  309 | dragons-earth                                                       |                14 |
|  310 | dragons-lair                                                        |                 8 |
|  311 | drakkhen                                                            |                33 |
|  312 | dream-basketball-dunk-hoop                                          |                 6 |
|  313 | dream-tv                                                            |                 5 |
|  314 | drift-king-shutokou-battle-2                                        |                 3 |
|  315 | dual-orb-ii                                                         |                31 |
|  316 | dual-orb-seireiju-densetsu                                          |                28 |
|  317 | dun-quest-majin-fuuin-no-densetsu                                   |                 8 |
|  318 | dungeon-master                                                      |                 7 |
|  319 | dynamitracer                                                        |                 5 |
|  320 | earth-defense-force                                                 |                16 |
|  321 | earth-light                                                         |                15 |
|  322 | earth-light-luna-strike                                             |                 4 |
|  323 | earthworm-jim                                                       |                13 |
|  324 | earthworm-jim-2                                                     |                11 |
|  325 | edo-no-kiba                                                         |                11 |
|  326 | eek-the-cat                                                         |                 4 |
|  327 | eien-no-filena                                                      |                31 |
|  328 | elfaria-a-fantastic-theater                                         |                10 |
|  329 | elfaria-ii-the-quest-of-the-meld                                    |                35 |
|  330 | elite-soccer                                                        |                 6 |
|  331 | emerald-dragon                                                      |                 7 |
|  332 | emmitt-smith-football                                               |                 3 |
|  333 | energy-breaker                                                      |                 8 |
|  334 | equinox                                                             |                12 |
|  335 | esparks-ijikuu-kara-no-raihousha                                    |                 3 |
|  336 | espn-baseball-tonight                                               |                 3 |
|  337 | espn-national-hockey-night                                          |                 8 |
|  338 | espn-speed-world                                                    |                 3 |
|  339 | espn-sunday-night-nfl                                               |                 2 |
|  340 | eurit                                                               |                 8 |
|  341 | evo-search-for-eden                                                 |                28 |
|  342 | excitebike-bun-bun-mario-battle-stadium                             |                 2 |
|  343 | extra-innings                                                       |                 6 |
|  344 | f-1-grand-prix                                                      |                11 |
|  345 | f-1-grand-prix-part-ii                                              |                 7 |
|  346 | f-1-grand-prix-part-iii                                             |                11 |
|  347 | f-1-roc-ii-race-of-champions                                        |                 3 |
|  348 | f-1-roc-race-of-champions                                           |                10 |
|  349 | f-zero                                                              |                14 |
|  350 | f1-pole-position                                                    |                11 |
|  351 | f1-pole-position-2                                                  |                 5 |
|  352 | f1-world-championship-edition                                       |                 3 |
|  353 | faceball-2000                                                       |                10 |
|  354 | famicom-tantei-club-2-ushiro-ni-tatsu-shoujo                        |                 1 |
|  355 | family-dog                                                          |                20 |
|  356 | family-feud                                                         |                 5 |
|  357 | farland-story                                                       |                 5 |
|  358 | farland-story-2                                                     |                 6 |
|  359 | fatal-fury                                                          |                13 |
|  360 | fatal-fury-2                                                        |                20 |
|  361 | fatal-fury-special                                                  |                21 |
|  362 | fifa-soccer-96                                                      |                 4 |
|  363 | fifa-soccer-97                                                      |                 5 |
|  364 | fifa-soccer-97-1996                                                 |                 6 |
|  365 | fighters-history                                                    |                14 |
|  366 | fighters-history-mizoguchi-kiki-ippatsu                             |                19 |
|  367 | final-fantasy-iv                                                    |                31 |
|  368 | final-fantasy-mystic-quest-[mystic-quest-legend]                    |                16 |
|  369 | final-fantasy-v                                                     |                29 |
|  370 | final-fantasy-vi                                                    |                32 |
|  371 | final-fight                                                         |                14 |
|  372 | final-fight-2                                                       |                10 |
|  373 | final-stretch                                                       |                 4 |
|  374 | finalset                                                            |                 2 |
|  375 | fire-emblem-monshou-no-nazo                                         |                19 |
|  376 | fire-emblem-seisen-no-keifu                                         |                31 |
|  377 | fire-emblem-thracia-776                                             |                36 |
|  378 | fire-pro-joshi-all-star-dream-slam                                  |                 9 |
|  379 | firearm                                                             |                 1 |
|  380 | firemen-the                                                         |                14 |
|  381 | firepower-2000                                                      |                 9 |
|  382 | firestriker                                                         |                18 |
|  383 | fireteam-rogue                                                      |                15 |
|  384 | first-queen-ornic-senki                                             |                 6 |
|  385 | first-samurai                                                       |                14 |
|  386 | flashback-the-quest-for-identity                                    |                 5 |
|  387 | flintstones-the                                                     |                16 |
|  388 | flintstones-the-treasure-of-sierra-madrock                          |                17 |
